t, u_C, u_R, u_E, i
3.79, 2.8157363582549997, 0.18426364174500037, 3, 0.18426364174500037
3.7999999999999998, 2.8175698121243462, 0.1824301878756539, 3, 0.1824301878756539
3.8099999999999996, 2.8193850228228792, 0.18061497717712072, 3, 0.18061497717712072
3.8200000000000003, 2.8211821718731818, 0.17881782812681801, 3, 0.17881782812681801
3.8300000000000001, 2.8229614389916566, 0.1770385610083435, 3, 0.1770385610083435
3.8399999999999999, 2.8247230021064977, 0.17527699789350248, 3, 0.17527699789350248
3.8499999999999996, 2.8264670373754845, 0.17353296262451542, 3, 0.17353296262451542
3.8600000000000003, 2.8281937192035977, 0.17180628079640198, 3, 0.17180628079640198
3.8700000000000001, 2.8299032202604595, 0.17009677973954074, 3, 0.17009677973954074
3.8799999999999999, 2.8315957114975987, 0.16840428850240119, 3, 0.16840428850240119
3.8899999999999997, 2.8332713621655508, 0.16672863783444924, 3, 0.16672863783444924
3.9000000000000004, 2.8349303398307781, 0.16506966016922162, 3, 0.16506966016922162
3.9100000000000001, 2.8365728103924308, 0.16342718960756958, 3, 0.16342718960756958
3.9199999999999999, 2.8381989380989321, 0.16180106190106805, 3, 0.16180106190106805
3.9299999999999997, 2.8398088855644086, 0.16019111443559131, 3, 0.16019111443559131
3.9400000000000004, 2.8414028137849487, 0.15859718621505103, 3, 0.15859718621505103
3.9500000000000002, 2.8429808821547029, 0.15701911784529715, 3, 0.15701911784529715
3.96, 2.8445432484818225, 0.15545675151817751, 3, 0.15545675151817751
3.9699999999999998, 2.8460900690042426, 0.15390993099575739, 3, 0.15390993099575739
3.9800000000000004, 2.8476214984053043, 0.15237850159469546, 3, 0.15237850159469546
3.9900000000000002, 2.8491376898292247, 0.15086231017077559, 3, 0.15086231017077559
4, 2.8506387948964083, 0.14936120510359183, 3, 0.14936120510359183
4.0099999999999998, 2.8521249637186137, 0.14787503628138651, 3, 0.14787503628138651
4.0199999999999996, 2.853596344913961, 0.14640365508603895, 3, 0.14640365508603895
4.0300000000000002, 2.8550530856217966, 0.14494691437820326, 3, 0.14494691437820326
4.04, 2.8564953315174049, 0.14350466848259513, 3, 0.14350466848259513
4.0499999999999998, 2.8579232268265771, 0.14207677317342282, 3, 0.14207677317342282
4.0599999999999996, 2.8593369143400347, 0.14066308565996549, 3, 0.14066308565996549
4.0700000000000003, 2.8607365354277063, 0.13926346457229374, 3, 0.13926346457229374
4.0800000000000001, 2.8621222300528673, 0.13787776994713261, 3, 0.13787776994713261
4.0899999999999999, 2.8634941367861355, 0.13650586321386471, 3, 0.13650586321386471
4.0999999999999996, 2.8648523928193264, 0.13514760718067348, 3, 0.13514760718067348
4.1100000000000003, 2.8661971339791763, 0.13380286602082353, 3, 0.13380286602082353
4.1200000000000001, 2.8675284947409212, 0.13247150525907858, 3, 0.13247150525907858
4.1299999999999999, 2.8688466082417472, 0.13115339175825283, 3, 0.13115339175825283
4.1399999999999997, 2.8701516062941024, 0.12984839370589776, 3, 0.12984839370589776
4.1500000000000004, 2.8714436193988795, 0.12855638060112051, 3, 0.12855638060112051
4.1600000000000001, 2.872722776758466, 0.12727722324153412, 3, 0.12727722324153412
4.1699999999999999, 2.8739892062896635, 0.12601079371033666, 3, 0.12601079371033666
4.1799999999999997, 2.8752430346364806, 0.12475696536351957, 3, 0.12475696536351957
4.1900000000000004, 2.876484387182797, 0.12351561281720318, 3, 0.12351561281720318
4.2000000000000002, 2.8777133880649015, 0.12228661193509863, 3, 0.12228661193509863
4.21, 2.8789301601839066, 0.12106983981609344, 3, 0.12106983981609344
4.2199999999999998, 2.8801348252180383, 0.11986517478196175, 3, 0.11986517478196175
4.2300000000000004, 2.8813275036348038, 0.11867249636519611, 3, 0.11867249636519611
4.2400000000000002, 2.8825083147030388, 0.11749168529696119, 3, 0.11749168529696119
4.25, 2.883677376504834, 0.11632262349516603, 3, 0.11632262349516603
4.2599999999999998, 2.8848348059473436, 0.11516519405265623, 3, 0.11516519405265623
4.2699999999999996, 2.8859807187744773, 0.11401928122552302, 3, 0.11401928122552302
4.2800000000000002, 2.8871152295784714, 0.11288477042152859, 3, 0.11288477042152859
4.29, 2.8882384518113526, 0.11176154818864742, 3, 0.11176154818864742
4.2999999999999998, 2.8893504977962801, 0.11064950220372002, 3, 0.11064950220372002
4.3099999999999996, 2.8904514787387789, 0.10954852126122125, 3, 0.10954852126122125
4.3200000000000003, 2.891541504737861, 0.10845849526213922, 3, 0.10845849526213922
4.3300000000000001, 2.8926206847970342, 0.1073793152029659, 3, 0.1073793152029659
4.3399999999999999, 2.8936891268352043, 0.10631087316479593, 3, 0.10631087316479593
4.3499999999999996, 2.8947469376974651, 0.10525306230253512, 3, 0.10525306230253512
4.3600000000000003, 2.8957942231657845, 0.10420577683421563, 3, 0.10420577683421563
4.3700000000000001, 2.896831087969582, 0.10316891203041813, 3, 0.10316891203041813
4.3799999999999999, 2.897857635796202, 0.10214236420379803, 3, 0.10214236420379803
4.3899999999999997, 2.8988739693012828, 0.10112603069871726, 3, 0.10112603069871726
4.4000000000000004, 2.8998801901190219, 0.10011980988097821, 3, 0.10011980988097821
4.4100000000000001, 2.9008763988723389, 0.099123601127660818, 3, 0.099123601127660818
4.4199999999999999, 2.9018626951829409, 0.098137304817059429, 3, 0.098137304817059429
4.4299999999999997, 2.9028391776812787, 0.097160822318721141, 3, 0.097160822318721141
4.4400000000000004, 2.9038059440164177, 0.096194055983582272, 3, 0.096194055983582272
4.4500000000000002, 2.9047630908657962, 0.095236909134203823, 3, 0.095236909134203823
4.46, 2.905710713944897, 0.09428928605510313, 3, 0.09428928605510313
4.4699999999999998, 2.9066489080168174, 0.093351091983182616, 3, 0.093351091983182616
4.4800000000000004, 2.9075777669017469, 0.09242223309825319, 3, 0.09242223309825319
4.4900000000000002, 2.9084973834863477, 0.091502616513652435, 3, 0.091502616513652435
4.5, 2.9094078497330447, 0.090592150266955496, 3, 0.090592150266955496
4.5099999999999998, 2.9103092566892208, 0.089690743310778961, 3, 0.089690743310778961
4.5199999999999996, 2.9112016944963242, 0.088798305503676025, 3, 0.088798305503676025
4.5300000000000002, 2.9120852523988776, 0.087914747601122251, 3, 0.087914747601122251
4.54, 2.9129600187534086, 0.087039981246591153, 3, 0.087039981246591153
4.5499999999999998, 2.9138260810372816, 0.086173918962718296, 3, 0.086173918962718296
4.5599999999999996, 2.9146835258574466, 0.085316474142553542, 3, 0.085316474142553542
4.5700000000000003, 2.9155324389591, 0.08446756104090028, 3, 0.08446756104090028
4.5800000000000001, 2.9163729052342591, 0.083627094765741053, 3, 0.083627094765741053
4.5899999999999999, 2.9172050087302521, 0.082794991269747861, 3, 0.082794991269747861
4.5999999999999996, 2.9180288326581225, 0.081971167341877704, 3, 0.081971167341877704
4.6100000000000003, 2.9188444594009488, 0.08115554059905121, 3, 0.08115554059905121
4.6200000000000001, 2.9196519705220854, 0.080348029477914529, 3, 0.080348029477914529
4.6299999999999999, 2.9204514467733178, 0.079548553226682542, 3, 0.079548553226682542
4.6399999999999997, 2.9212429681029359, 0.078757031897063914, 3, 0.078757031897063914
4.6500000000000004, 2.9220266136637338, 0.077973386336265993, 3, 0.077973386336265993
4.6600000000000001, 2.9228024618209201, 0.077197538179079844, 3, 0.077197538179079844
4.6699999999999999, 2.9235705901599571, 0.076429409840043039, 3, 0.076429409840043039
4.6799999999999997, 2.9243310754943184, 0.075668924505681662, 3, 0.075668924505681662
4.6900000000000004, 2.9250839938731716, 0.07491600612682843, 3, 0.07491600612682843
4.7000000000000002, 2.9258294205889817, 0.07417057941101815, 3, 0.07417057941101815
4.71, 2.9265674301850422, 0.073432569814958007, 3, 0.073432569814958007
4.7199999999999998, 2.9272980964629269, 0.072701903537073384, 3, 0.072701903537073384
4.7300000000000004, 2.9280214924898722, 0.071978507510127493, 3, 0.071978507510127493
4.7400000000000002, 2.9287376906060851, 0.071262309393915008, 3, 0.071262309393915008
4.75, 2.9294467624319727, 0.070553237568027324, 3, 0.070553237568027324
4.7599999999999998, 2.9301487788753091, 0.069851221124691026, 3, 0.069851221124691026
4.7699999999999996, 2.9308438101383234, 0.069156189861676737, 3, 0.069156189861676737
4.7800000000000002, 2.931531925724721, 0.068468074275278928, 3, 0.068468074275278928
4.79, 2.9322131944466343, 0.067786805553365609, 3, 0.067786805553365609
4.7999999999999998, 2.9328876844315031, 0.067112315568496811, 3, 0.067112315568496811
4.8099999999999996, 2.9335554631288878, 0.066444536871111973, 3, 0.066444536871111973
4.8200000000000003, 2.9342165973172154, 0.065783402682784847, 3, 0.065783402682784847
4.8300000000000001, 2.9348711531104543, 0.065128846889545719, 3, 0.065128846889545719
4.8399999999999999, 2.93551919596473, 0.064480804035269762, 3, 0.064480804035269762
4.8499999999999996, 2.9361607906848683, 0.06383920931513154, 3, 0.06383920931513154
4.8600000000000003, 2.936796001430876, 0.063203998569124259, 3, 0.063203998569124259
4.8700000000000001, 2.9374248917243557, 0.062575108275644151, 3, 0.062575108275644151
4.8799999999999999, 2.9380475244548623, 0.061952475545137699, 3, 0.061952475545137699
4.8899999999999997, 2.9386639618861867, 0.061336038113812996, 3, 0.061336038113812996
4.9000000000000004, 2.9392742656625872, 0.060725734337413143, 3, 0.060725734337413143
4.9100000000000001, 2.9398784968149481, 0.060121503185052043, 3, 0.060121503185052043
4.9199999999999999, 2.9404767157668892, 0.05952328423311086, 3, 0.05952328423311086
4.9299999999999997, 2.9410689823408038, 0.058931017659195895, 3, 0.058931017659195895
4.9400000000000004, 2.9416553557638441, 0.058344644236156137, 3, 0.058344644236156137
4.9500000000000002, 2.9422358946738392, 0.057764105326160761, 3, 0.057764105326160761
4.96, 2.9428106571251651, 0.057189342874834903, 3, 0.057189342874834903
4.9699999999999998, 2.9433797005945457, 0.056620299405454474, 3, 0.056620299405454474
4.9800000000000004, 2.9439430819868013, 0.056056918013198287, 3, 0.056056918013198287
4.9900000000000002, 2.9445008576405423, 0.055499142359457729, 3, 0.055499142359457729
5, 2.9450530833337973, 0.054946916666202536, 3, 0.054946916666202536
5.0099999999999998, 2.9455998142895972, 0.054400185710403226, 3, 0.054400185710403226
5.0199999999999996, 2.9461411051814914, 0.053858894818508599, 3, 0.053858894818508599
5.0300000000000002, 2.9466770101390214, 0.053322989860978318, 3, 0.053322989860978318
5.04, 2.9472075827531299, 0.052792417246870178, 3, 0.052792417246870178
5.0499999999999998, 2.9477328760815196, 0.052267123918480533, 3, 0.052267123918480533
5.0599999999999996, 2.9482529426539612, 0.051747057346038836, 3, 0.051747057346038836
5.0700000000000003, 2.9487678344775459, 0.051232165522454381, 3, 0.051232165522454381
5.0800000000000001, 2.9492776030418844, 0.050722396958115826, 3, 0.050722396958115826
5.0899999999999999, 2.9497822993242582, 0.050217700675741897, 3, 0.050217700675741897
5.0999999999999996, 2.9502819737947164, 0.049718026205283754, 3, 0.049718026205283754
5.1100000000000003, 2.9507766764211221, 0.049223323578877931, 3, 0.049223323578877931
5.1200000000000001, 2.9512664566741504, 0.048733543325849615, 3, 0.048733543325849615
5.1299999999999999, 2.9517513635322348, 0.048248636467765296, 3, 0.048248636467765296
5.1399999999999997, 2.9522314454864649, 0.04776855451353508, 3, 0.04776855451353508
5.1500000000000004, 2.9527067505454365, 0.047293249454563459, 3, 0.047293249454563459
5.1600000000000001, 2.9531773262400516, 0.046822673759948488, 3, 0.046822673759948488
5.1699999999999999, 2.9536432196282716, 0.046356780371728551, 3, 0.046356780371728551
5.1799999999999997, 2.9541044772998233, 0.045895522700176557, 3, 0.045895522700176557
5.1900000000000004, 2.9545611453808589, 0.045438854619140941, 3, 0.045438854619140941
5.2000000000000002, 2.9550132695385667, 0.044986730461433116, 3, 0.044986730461433116
5.21, 2.9554608949857393, 0.044539105014260491, 3, 0.044539105014260491
5.2199999999999998, 2.9559040664852949, 0.044095933514705352, 3, 0.044095933514705352
5.2300000000000004, 2.9563428283547513, 0.043657171645248363, 3, 0.043657171645248363
5.2400000000000002, 2.9567772244706632, 0.043222775529337051, 3, 0.043222775529337051
5.25, 2.9572072982730022, 0.042792701726997763, 3, 0.042792701726997763
5.2599999999999998, 2.957633092769508, 0.042366907230491885, 3, 0.042366907230491885
5.2699999999999996, 2.9580546505399852, 0.041945349460014922, 3, 0.041945349460014922
5.2800000000000002, 2.9584720137405611, 0.041527986259438501, 3, 0.041527986259438501
5.29, 2.9588852241079051, 0.041114775892094835, 3, 0.041114775892094835
5.2999999999999998, 2.9592943229633972, 0.0407056770366028, 3, 0.0407056770366028
5.3099999999999996, 2.9596993512172638, 0.04030064878273594, 3, 0.04030064878273594
5.3200000000000003, 2.9601003493726687, 0.0398996506273313, 3, 0.0398996506273313
5.3300000000000001, 2.9604973575297606, 0.039502642470239255, 3, 0.039502642470239255
5.3399999999999999, 2.9608904153896871, 0.039109584610313206, 3, 0.039109584610313206
5.3499999999999996, 2.9612795622585604, 0.038720437741439621, 3, 0.038720437741439621
5.3600000000000003, 2.9616648370513925, 0.038335162948607296, 3, 0.038335162948607296
5.3700000000000001, 2.9620462782959844, 0.037953721704015918, 3, 0.037953721704015918
5.3799999999999999, 2.9624239241367767, 0.037576075863223153, 3, 0.037576075863223153
5.3899999999999997, 2.9627978123386698, 0.037202187661330224, 3, 0.037202187661330224
5.4000000000000004, 2.9631679802907946, 0.036832019709205306, 3, 0.036832019709205306
5.4100000000000001, 2.9635344650102553, 0.036465534989744808, 3, 0.036465534989744808
