t, u_C, u_R, u_E, i
4.0199999999999996,0.14640365508603895,-0.14640365508603895,0,-0.14640365508603895
4.0300000000000002,0.14494691437820326,-0.14494691437820326,0,-0.14494691437820326
4.04,0.14350466848259513,-0.14350466848259513,0,-0.14350466848259513
4.0499999999999998,0.14207677317342282,-0.14207677317342282,0,-0.14207677317342282
4.0599999999999996,0.14066308565996549,-0.14066308565996549,0,-0.14066308565996549
4.0700000000000003,0.13926346457229374,-0.13926346457229374,0,-0.13926346457229374
4.0800000000000001,0.13787776994713261,-0.13787776994713261,0,-0.13787776994713261
4.0899999999999999,0.13650586321386471,-0.13650586321386471,0,-0.13650586321386471
4.0999999999999996,0.13514760718067348,-0.13514760718067348,0,-0.13514760718067348
4.1100000000000003,0.13380286602082353,-0.13380286602082353,0,-0.13380286602082353
4.1200000000000001,0.13247150525907858,-0.13247150525907858,0,-0.13247150525907858
4.1299999999999999,0.13115339175825283,-0.13115339175825283,0,-0.13115339175825283
4.1399999999999997,0.12984839370589776,-0.12984839370589776,0,-0.12984839370589776
4.1500000000000004,0.12855638060112051,-0.12855638060112051,0,-0.12855638060112051
4.1600000000000001,0.12727722324153412,-0.12727722324153412,0,-0.12727722324153412
4.1699999999999999,0.12601079371033666,-0.12601079371033666,0,-0.12601079371033666
4.1799999999999997,0.12475696536351957,-0.12475696536351957,0,-0.12475696536351957
4.1900000000000004,0.12351561281720318,-0.12351561281720318,0,-0.12351561281720318
4.2000000000000002,0.12228661193509863,-0.12228661193509863,0,-0.12228661193509863
4.21,0.12106983981609344,-0.12106983981609344,0,-0.12106983981609344
4.2199999999999998,0.11986517478196175,-0.11986517478196175,0,-0.11986517478196175
4.2300000000000004,0.11867249636519611,-0.11867249636519611,0,-0.11867249636519611
4.2400000000000002,0.11749168529696119,-0.11749168529696119,0,-0.11749168529696119
4.25,0.11632262349516603,-0.11632262349516603,0,-0.11632262349516603
4.2599999999999998,0.11516519405265623,-0.11516519405265623,0,-0.11516519405265623
4.2699999999999996,0.11401928122552302,-0.11401928122552302,0,-0.11401928122552302
4.2800000000000002,0.11288477042152859,-0.11288477042152859,0,-0.11288477042152859
4.29,0.11176154818864742,-0.11176154818864742,0,-0.11176154818864742
4.2999999999999998,0.11064950220372002,-0.11064950220372002,0,-0.11064950220372002
4.3099999999999996,0.10954852126122125,-0.10954852126122125,0,-0.10954852126122125
4.3200000000000003,0.10845849526213922,-0.10845849526213922,0,-0.10845849526213922
4.3300000000000001,0.1073793152029659,-0.1073793152029659,0,-0.1073793152029659
4.3399999999999999,0.10631087316479593,-0.10631087316479593,0,-0.10631087316479593
4.3499999999999996,0.10525306230253512,-0.10525306230253512,0,-0.10525306230253512
4.3600000000000003,0.10420577683421563,-0.10420577683421563,0,-0.10420577683421563
4.3700000000000001,0.10316891203041813,-0.10316891203041813,0,-0.10316891203041813
4.3799999999999999,0.10214236420379803,-0.10214236420379803,0,-0.10214236420379803
4.3899999999999997,0.10112603069871726,-0.10112603069871726,0,-0.10112603069871726
4.4000000000000004,0.10011980988097821,-0.10011980988097821,0,-0.10011980988097821
4.4100000000000001,0.099123601127660818,-0.099123601127660818,0,-0.099123601127660818
4.4199999999999999,0.098137304817059429,-0.098137304817059429,0,-0.098137304817059429
4.4299999999999997,0.097160822318721141,-0.097160822318721141,0,-0.097160822318721141
4.4400000000000004,0.096194055983582272,-0.096194055983582272,0,-0.096194055983582272
4.4500000000000002,0.095236909134203823,-0.095236909134203823,0,-0.095236909134203823
4.46,0.09428928605510313,-0.09428928605510313,0,-0.09428928605510313
4.4699999999999998,0.093351091983182616,-0.093351091983182616,0,-0.093351091983182616
4.4800000000000004,0.09242223309825319,-0.09242223309825319,0,-0.09242223309825319
4.4900000000000002,0.091502616513652435,-0.091502616513652435,0,-0.091502616513652435
4.5,0.090592150266955496,-0.090592150266955496,0,-0.090592150266955496
4.5099999999999998,0.089690743310778961,-0.089690743310778961,0,-0.089690743310778961
4.5199999999999996,0.088798305503676025,-0.088798305503676025,0,-0.088798305503676025
4.5300000000000002,0.087914747601122251,-0.087914747601122251,0,-0.087914747601122251
4.54,0.087039981246591153,-0.087039981246591153,0,-0.087039981246591153
4.5499999999999998,0.086173918962718296,-0.086173918962718296,0,-0.086173918962718296
4.5599999999999996,0.085316474142553542,-0.085316474142553542,0,-0.085316474142553542
4.5700000000000003,0.08446756104090028,-0.08446756104090028,0,-0.08446756104090028
4.5800000000000001,0.083627094765741053,-0.083627094765741053,0,-0.083627094765741053
4.5899999999999999,0.082794991269747861,-0.082794991269747861,0,-0.082794991269747861
4.5999999999999996,0.081971167341877704,-0.081971167341877704,0,-0.081971167341877704
4.6100000000000003,0.08115554059905121,-0.08115554059905121,0,-0.08115554059905121
4.6200000000000001,0.080348029477914529,-0.080348029477914529,0,-0.080348029477914529
4.6299999999999999,0.079548553226682542,-0.079548553226682542,0,-0.079548553226682542
4.6399999999999997,0.078757031897063914,-0.078757031897063914,0,-0.078757031897063914
4.6500000000000004,0.077973386336265993,-0.077973386336265993,0,-0.077973386336265993
4.6600000000000001,0.077197538179079844,-0.077197538179079844,0,-0.077197538179079844
4.6699999999999999,0.076429409840043039,-0.076429409840043039,0,-0.076429409840043039
4.6799999999999997,0.075668924505681662,-0.075668924505681662,0,-0.075668924505681662
4.6900000000000004,0.07491600612682843,-0.07491600612682843,0,-0.07491600612682843
4.7000000000000002,0.07417057941101815,-0.07417057941101815,0,-0.07417057941101815
4.71,0.073432569814958007,-0.073432569814958007,0,-0.073432569814958007
4.7199999999999998,0.072701903537073384,-0.072701903537073384,0,-0.072701903537073384
4.7300000000000004,0.071978507510127493,-0.071978507510127493,0,-0.071978507510127493
4.7400000000000002,0.071262309393915008,-0.071262309393915008,0,-0.071262309393915008
4.75,0.070553237568027324,-0.070553237568027324,0,-0.070553237568027324
4.7599999999999998,0.069851221124691026,-0.069851221124691026,0,-0.069851221124691026
4.7699999999999996,0.069156189861676737,-0.069156189861676737,0,-0.069156189861676737
4.7800000000000002,0.068468074275278928,-0.068468074275278928,0,-0.068468074275278928
4.79,0.067786805553365609,-0.067786805553365609,0,-0.067786805553365609
4.7999999999999998,0.067112315568496811,-0.067112315568496811,0,-0.067112315568496811
4.8099999999999996,0.066444536871111973,-0.066444536871111973,0,-0.066444536871111973
4.8200000000000003,0.065783402682784847,-0.065783402682784847,0,-0.065783402682784847
4.8300000000000001,0.065128846889545719,-0.065128846889545719,0,-0.065128846889545719
4.8399999999999999,0.064480804035269762,-0.064480804035269762,0,-0.064480804035269762
4.8499999999999996,0.06383920931513154,-0.06383920931513154,0,-0.06383920931513154
4.8600000000000003,0.063203998569124259,-0.063203998569124259,0,-0.063203998569124259
4.8700000000000001,0.062575108275644151,-0.062575108275644151,0,-0.062575108275644151
4.8799999999999999,0.061952475545137699,-0.061952475545137699,0,-0.061952475545137699
4.8899999999999997,0.061336038113812996,-0.061336038113812996,0,-0.061336038113812996
4.9000000000000004,0.060725734337413143,-0.060725734337413143,0,-0.060725734337413143
4.9100000000000001,0.060121503185052043,-0.060121503185052043,0,-0.060121503185052043
4.9199999999999999,0.05952328423311086,-0.05952328423311086,0,-0.05952328423311086
4.9299999999999997,0.058931017659195895,-0.058931017659195895,0,-0.058931017659195895
4.9400000000000004,0.058344644236156137,-0.058344644236156137,0,-0.058344644236156137
4.9500000000000002,0.057764105326160761,-0.057764105326160761,0,-0.057764105326160761
4.96,0.057189342874834903,-0.057189342874834903,0,-0.057189342874834903
4.9699999999999998,0.056620299405454474,-0.056620299405454474,0,-0.056620299405454474
4.9800000000000004,0.056056918013198287,-0.056056918013198287,0,-0.056056918013198287
4.9900000000000002,0.055499142359457729,-0.055499142359457729,0,-0.055499142359457729
5,0.054946916666202536,-0.054946916666202536,0,-0.054946916666202536
5.0099999999999998,0.054400185710403226,-0.054400185710403226,0,-0.054400185710403226
5.0199999999999996,0.053858894818508599,-0.053858894818508599,0,-0.053858894818508599
5.0300000000000002,0.053322989860978318,-0.053322989860978318,0,-0.053322989860978318
5.04,0.052792417246870178,-0.052792417246870178,0,-0.052792417246870178
5.0499999999999998,0.052267123918480533,-0.052267123918480533,0,-0.052267123918480533
5.0599999999999996,0.051747057346038836,-0.051747057346038836,0,-0.051747057346038836
5.0700000000000003,0.051232165522454381,-0.051232165522454381,0,-0.051232165522454381
5.0800000000000001,0.050722396958115826,-0.050722396958115826,0,-0.050722396958115826
5.0899999999999999,0.050217700675741897,-0.050217700675741897,0,-0.050217700675741897
5.0999999999999996,0.049718026205283754,-0.049718026205283754,0,-0.049718026205283754
5.1100000000000003,0.049223323578877931,-0.049223323578877931,0,-0.049223323578877931
5.1200000000000001,0.048733543325849615,-0.048733543325849615,0,-0.048733543325849615
5.1299999999999999,0.048248636467765296,-0.048248636467765296,0,-0.048248636467765296
5.1399999999999997,0.04776855451353508,-0.04776855451353508,0,-0.04776855451353508
5.1500000000000004,0.047293249454563459,-0.047293249454563459,0,-0.047293249454563459
5.1600000000000001,0.046822673759948488,-0.046822673759948488,0,-0.046822673759948488
5.1699999999999999,0.046356780371728551,-0.046356780371728551,0,-0.046356780371728551
