Freq.	V(n001)/I(C)
1.47910838816820e+002	4.70000000000000e+002,-1.58238158049868e+003
1.51356124843620e+002	4.70000000000000e+002,-1.54636217821820e+003
1.54881661891248e+002	4.70000000000000e+002,-1.51116267763313e+003
1.58489319246111e+002	4.70000000000000e+002,-1.47676441550234e+003
1.62181009735892e+002	4.70000000000000e+002,-1.44314915341194e+003
1.65958690743755e+002	4.70000000000000e+002,-1.41029906810501e+003
1.69824365246174e+002	4.70000000000000e+002,-1.37819674203151e+003
1.73780082874937e+002	4.70000000000000e+002,-1.34682515411323e+003
1.77827941003892e+002	4.70000000000000e+002,-1.31616767071899e+003
1.81970085860998e+002	4.70000000000000e+002,-1.28620803684531e+003
1.86208713666286e+002	4.70000000000000e+002,-1.25693036749774e+003
1.90546071796324e+002	4.70000000000000e+002,-1.22831913926846e+003
1.94984459975804e+002	4.70000000000000e+002,-1.20035918210554e+003
1.99526231496887e+002	4.70000000000000e+002,-1.17303567126961e+003
2.04173794466952e+002	4.70000000000000e+002,-1.14633411947354e+003
2.08929613085403e+002	4.70000000000000e+002,-1.12024036920115e+003
2.13796208950222e+002	4.70000000000000e+002,-1.09474058520065e+003
2.18776162394954e+002	4.70000000000000e+002,-1.06982124714902e+003
2.23872113856833e+002	4.70000000000000e+002,-1.04546914248339e+003
2.29086765276776e+002	4.70000000000000e+002,-1.02167135939552e+003
2.34422881531991e+002	4.70000000000000e+002,-9.98415279985821e+002
2.39883291901948e+002	4.70000000000000e+002,-9.75688573573161e+002
2.45470891568502e+002	4.70000000000000e+002,-9.53479190156975e+002
2.51188643150957e+002	4.70000000000000e+002,-9.31775354028199e+002
2.57039578276885e+002	4.70000000000000e+002,-9.10565557525634e+002
2.63026799189537e+002	4.70000000000000e+002,-8.89838554934429e+002
2.69153480392690e+002	4.70000000000000e+002,-8.69583356523456e+002
2.75422870333816e+002	4.70000000000000e+002,-8.49789222718408e+002
2.81838293126444e+002	4.70000000000000e+002,-8.30445658407536e+002
2.88403150312659e+002	4.70000000000000e+002,-8.11542407376999e+002
